販売個数, 引き出し金額, 販売者の残高の変動量, 取引手数料
2, 0.4999999999999492, -23.7491111960001, 24.24911119600005
4, 0.4999999999999492, -19.0011762200001, 19.50117622000005
6, 0.4999999999999492, -19.0011762200001, 19.50117622000005
8, 0.4999999999999492, -19.0011762200001, 19.50117622000005
10, 0.4999999999999492, -18.9978419960001, 19.49784199600005
12, 0.4999999999999492, -18.9945077720001, 19.494507772000052
14, 0.4999999999999492, -19.0011762200001, 19.50117622000005
16, 0.4999999999999492, -19.0011762200001, 19.50117622000005
18, 0.4999999999999492, -19.0011762200001, 19.50117622000005
20, 0.4999999999999492, -18.9978419960001, 19.49784199600005
22, 0.4999999999999492, -19.0011762200001, 19.50117622000005
24, 0.4999999999999492, -19.0011762200001, 19.50117622000005
26, 0.4999999999999492, -19.0011762200001, 19.50117622000005
28, 0.4999999999999492, -19.0011762200001, 19.50117622000005
30, 0.4999999999999492, -18.9978419960001, 19.49784199600005
32, 0.4999999999999492, -18.9978419960001, 19.49784199600005
34, 0.4999999999999492, -19.0011762200001, 19.50117622000005
36, 0.4999999999999492, -19.0011762200001, 19.50117622000005
38, 0.4999999999999492, -19.0011762200001, 19.50117622000005
40, 0.4999999999999492, -19.0011762200001, 19.50117622000005
42, 0.4999999999999492, -19.0011762200001, 19.50117622000005
44, 0.4999999999999492, -18.9978419960001, 19.49784199600005
46, 0.4999999999999492, -19.0011762200001, 19.50117622000005
48, 0.4999999999999492, -18.9978419960001, 19.49784199600005
50, 0.4999999999999492, -19.0011762200001, 19.50117622000005
52, 0.4999999999999492, -18.9978419960001, 19.49784199600005
54, 0.4999999999999492, -18.9978419960001, 19.49784199600005
56, 0.4999999999999492, -19.0011762200001, 19.50117622000005
58, 0.4999999999999492, -19.0011762200001, 19.50117622000005
60, 0.4999999999999492, -19.0011762200001, 19.50117622000005
62, 0.4999999999999492, -19.0011762200001, 19.50117622000005
64, 0.4999999999999492, -18.9978419960001, 19.49784199600005
66, 0.4999999999999492, -19.0011762200001, 19.50117622000005
68, 0.4999999999999492, -18.9978419960001, 19.49784199600005
70, 0.4999999999999492, -19.0011762200001, 19.50117622000005
72, 0.4999999999999492, -19.0011762200001, 19.50117622000005
74, 0.4999999999999492, -19.0011762200001, 19.50117622000005
76, 0.4999999999999492, -18.9978419960001, 19.49784199600005
78, 0.4999999999999492, -19.0011762200001, 19.50117622000005
80, 0.4999999999999492, -19.0011762200001, 19.50117622000005
82, 0.4999999999999492, -18.9978419960001, 19.49784199600005
84, 0.4999999999999492, -19.0011762200001, 19.50117622000005
86, 0.4999999999999492, -18.9978419960001, 19.49784199600005
88, 0.4999999999999492, -19.0011762200001, 19.50117622000005
90, 0.4999999999999492, -19.0011762200001, 19.50117622000005
92, 0.4999999999999492, -19.0011762200001, 19.50117622000005
94, 0.4999999999999492, -19.0011762200001, 19.50117622000005
96, 0.4999999999999492, -19.0011762200001, 19.50117622000005
98, 0.4999999999999492, -18.9978419960001, 19.49784199600005
100, 0.4999999999999492, -19.0011762200001, 19.50117622000005
